Symbol,Name,Price (Intraday),Change,% Change,Market Cap,Volume in Currency (Since 0:00 UTC),Volume in Currency (24Hr),Total Volume All Currencies (24Hr),Circulating Supply
BTC-USD,Bitcoin USD,"27,425.81","-1,519.70",-5.25%,531.172B,18.642B,18.642B,18.642B,19.368M
ETH-USD,Ethereum USD,"1,836.74",-79.01,-4.12%,221.024B,10.1B,10.1B,10.1B,120.335M
USDT-USD,Tether USD,1.0007,-0.0004,-0.04%,82.148B,32.218B,32.218B,32.218B,82.088B
BNB-USD,BNB USD,312.82,-11.05,-3.41%,48.756B,633.938M,633.938M,633.938M,155.861M
USDC-USD,USD Coin USD,1.0001,0.0003,0.03%,30.151B,4.478B,4.478B,4.478B,30.147B
XRP-USD,XRP USD,0.421262,-0.035484,-7.77%,21.837B,1.269B,1.269B,1.269B,51.838B
ADA-USD,Cardano USD,0.362695,-0.016997,-4.48%,12.634B,325.234M,325.234M,325.234M,34.835B
STETH-USD,Lido Staked ETH USD,"1,833.69",-78.5,-4.11%,11.702B,23.291M,23.291M,23.291M,6.382M
HEX-USD,HEX USD,0.058625,0.001332,2.32%,10.166B,12.404M,12.404M,12.404M,173.411B
DOGE-USD,Dogecoin USD,0.072009,-0.00517,-6.70%,10.028B,436.795M,436.795M,436.795M,139.264B
MATIC-USD,Polygon USD,0.900149,-0.073727,-7.57%,8.326B,478.524M,478.524M,478.524M,9.249B
SOL-USD,Solana USD,20.49,-2.02,-8.98%,8.09B,575.421M,575.421M,575.421M,394.89M
WTRX-USD,Wrapped TRON USD,0.067773,-0.001939,-2.78%,6.891B,1.182M,1.182M,1.182M,101.676B
DOT-USD,Polkadot USD,5.3157,-0.3676,-6.47%,6.283B,177.806M,177.806M,177.806M,1.182B
TRX-USD,TRON USD,0.067868,-0.001906,-2.73%,6.143B,212.743M,212.743M,212.743M,90.516B
BUSD-USD,Binance USD USD,1.0003,-0.0003,-0.03%,5.967B,3.129B,3.129B,3.129B,5.966B
LTC-USD,Litecoin USD,77.25,-7.09,-8.40%,5.63B,704.179M,704.179M,704.179M,72.876M
SHIB-USD,Shiba Inu USD,0.00000895,-0.00000049,-5.21%,5.273B,205.202M,205.202M,205.202M,589.539T
AVAX-USD,Avalanche USD,15.27,-1.31,-7.90%,5.052B,242.035M,242.035M,242.035M,330.741M
DAI-USD,Dai USD,0.999272,-0.000554,-0.06%,4.878B,143.243M,143.243M,143.243M,4.881B
WBTC-USD,Wrapped Bitcoin USD,"27,519.04","-1,398.82",-4.84%,4.252B,170.694M,170.694M,170.694M,"154,510"
LINK-USD,Chainlink USD,6.5664,-0.3574,-5.16%,3.395B,253.909M,253.909M,253.909M,517.1M
LEO-USD,UNUS SED LEO USD,3.4984,0.0001,0.00%,3.255B,"668,394","668,394","668,394",930.427M
ATOM-USD,Cosmos USD,10.53,-0.47,-4.23%,3.016B,153.892M,153.892M,153.892M,286.37M
UNI7083-USD,Uniswap USD,4.9304,-0.4002,-7.51%,2.847B,75.136M,75.136M,75.136M,577.501M
XMR-USD,Monero USD,152.42,-4.75,-3.02%,2.786B,56.049M,56.049M,56.049M,18.276M
OKB-USD,OKB USD,44.14,-1.43,-3.13%,2.649B,7.193M,7.193M,7.193M,60M
ETC-USD,Ethereum Classic USD,18.08,-0.8,-4.24%,2.545B,116.529M,116.529M,116.529M,140.774M
TON11419-USD,Toncoin USD,2.0279,-0.0286,-1.39%,2.477B,12.799M,12.799M,12.799M,1.221B
XLM-USD,Stellar USD,0.088344,-0.004272,-4.61%,2.366B,62.206M,62.206M,62.206M,26.787B
ICP-USD,Internet Computer USD,5.2131,-0.3587,-6.44%,2.272B,45.167M,45.167M,45.167M,435.883M
TUSD-USD,TrueUSD USD,0.999545,-0.001002,-0.10%,2.197B,1.213B,1.213B,1.213B,2.198B
CNX-USD,Cryptonex USD,20.01,-1.07,-5.08%,2.149B,5.021M,5.021M,5.021M,107.405M
BCH-USD,Bitcoin Cash USD,110.38,-6.55,-5.60%,2.14B,113.082M,113.082M,113.082M,19.385M
FIL-USD,Filecoin USD,4.4901,-0.5736,-11.33%,1.897B,223.102M,223.102M,223.102M,422.384M
WHBAR-USD,Wrapped HBAR USD,0.054144,-0.002817,-4.95%,1.695B,"360,441","360,441","360,441",31.3B
CRO-USD,Cronos USD,0.066128,-0.002947,-4.27%,1.671B,14.765M,14.765M,14.765M,25.263B
HBAR-USD,Hedera USD,0.053312,-0.003254,-5.75%,1.669B,28.673M,28.673M,28.673M,31.3B
APT21794-USD,Aptos USD,8.21,-1.0834,-11.66%,1.565B,189.518M,189.518M,189.518M,190.601M
BTCB-USD,Bitcoin BEP2 USD,"27,501.19","-1,387.82",-4.80%,1.464B,28.985M,28.985M,28.985M,"53,221"
NEAR-USD,NEAR Protocol USD,1.6247,-0.1224,-7.01%,1.459B,72.173M,72.173M,72.173M,898.06M
LDO-USD,Lido DAO USD,1.6578,-0.1637,-8.99%,1.457B,60.728M,60.728M,60.728M,878.707M
VET-USD,VeChain USD,0.019248,-0.001066,-5.25%,1.4B,49.155M,49.155M,49.155M,72.715B
ARB11841-USD,Arbitrum USD,1.0703,-0.164,-13.28%,1.365B,566.016M,566.016M,566.016M,1.275B
QNT-USD,Quant USD,104.7,-5.17,-4.71%,1.264B,23.274M,23.274M,23.274M,12.073M
APE18876-USD,ApeCoin USD,3.3636,-0.2395,-6.65%,1.24B,83.383M,83.383M,83.383M,368.594M
ALGO-USD,Algorand USD,0.162604,-0.011793,-6.76%,1.175B,57.269M,57.269M,57.269M,7.226B
STX4847-USD,Stacks USD,0.750845,0.028645,3.97%,1.033B,324.594M,324.594M,324.594M,1.376B
GRT6719-USD,The Graph USD,0.114795,-0.011987,-9.45%,1.028B,42.928M,42.928M,42.928M,8.951B
FTM-USD,Fantom USD,0.361131,-0.047677,-11.66%,1.007B,196.667M,196.667M,196.667M,2.788B
FRAX-USD,Frax USD,0.995615,-0.00154,-0.15%,999.738M,13.541M,13.541M,13.541M,1.004B
EOS-USD,EOS USD,0.895516,-0.087451,-8.90%,976.53M,157.241M,157.241M,157.241M,1.09B
EGLD-USD,MultiversX USD,37.2,-2.4,-6.06%,944.437M,28.593M,28.593M,28.593M,25.388M
WBNB-USD,Wrapped BNB USD,313.19,-10.49,-3.24%,931.693M,198.961M,198.961M,198.961M,2.975M
AAVE-USD,Aave USD,64.44,-4.76,-6.88%,927.17M,62.401M,62.401M,62.401M,14.388M
SAND-USD,The Sandbox USD,0.503574,-0.04247,-7.78%,926.013M,82.609M,82.609M,82.609M,1.839B
RPL-USD,Rocket Pool USD,47.1,-2.38,-4.82%,910.354M,9.276M,9.276M,9.276M,19.329M
BIT11221-USD,BitDAO USD,0.484839,-0.015404,-3.08%,893.883M,5.616M,5.616M,5.616M,1.844B
THETA-USD,Theta Network USD,0.883613,-0.067349,-7.08%,883.613M,16.657M,16.657M,16.657M,1B
MANA-USD,Decentraland USD,0.470332,-0.043933,-8.54%,883.411M,69.272M,69.272M,69.272M,1.878B
XTZ-USD,Tezos USD,0.905958,-0.069763,-7.15%,848.914M,22.446M,22.446M,22.446M,937.035M
XRD-USD,Radix USD,0.078141,-0.008026,-9.31%,794.331M,4.481M,4.481M,4.481M,10.165B
CHZ-USD,Chiliz USD,0.113791,-0.012457,-9.87%,792.625M,66.87M,66.87M,66.87M,6.966B
FLOW-USD,Flow USD,0.757306,-0.0884,-10.45%,784.721M,24.84M,24.84M,24.84M,1.036B
AXS-USD,Axie Infinity USD,6.729,-0.5902,-8.06%,784.077M,40.062M,40.062M,40.062M,116.522M
USDP-USD,Pax Dollar USD,1.0042,0.0129,1.30%,760.737M,6.986M,6.986M,6.986M,757.553M
USDD-USD,USDD USD,0.997969,-0.000941,-0.09%,733.724M,22.377M,22.377M,22.377M,735.217M
KCS-USD,KuCoin Token USD,7.4711,-0.2358,-3.06%,724.508M,2.853M,2.853M,2.853M,96.975M
IMX10603-USD,Immutable USD,0.774833,-0.078308,-9.18%,708.324M,30.003M,30.003M,30.003M,914.164M
PEPE24478-USD,Pepe USD,0.00000179,-0.00000104,-36.78%,702.185M,1.132B,1.132B,1.132B,391.79T
CFX-USD,Conflux USD,0.251097,-0.036122,-12.58%,700.467M,148.407M,148.407M,148.407M,2.79B
CRV-USD,Curve DAO Token USD,0.831937,-0.061237,-6.86%,676.107M,52.087M,52.087M,52.087M,812.69M
RNDR-USD,Render Token USD,1.8158,-0.3358,-15.61%,660.795M,159.884M,159.884M,159.884M,363.912M
MKR-USD,Maker USD,671.3,-27.79,-3.98%,656.28M,26.371M,26.371M,26.371M,"977,631"
KLAY-USD,Klaytn USD,0.209091,-0.011988,-5.42%,646.369M,27.519M,27.519M,27.519M,3.091B
NEO-USD,Neo USD,9.007,-0.8802,-8.90%,635.346M,38.561M,38.561M,38.561M,70.539M
TNC5524-USD,TNC Coin USD,0.105008,0.000208,0.20%,614.422M,"69,722","69,722","69,722",5.851B
BTTOLD-USD,BitTorrent USD,0.000589,-0.000019,-3.11%,582.677M,"156,531","156,531","156,531",990B
BGB-USD,Bitget Token USD,0.415407,0.014501,3.62%,581.57M,19.382M,19.382M,19.382M,1.4B
BSV-USD,Bitcoin SV USD,29.55,-3.03,-9.30%,569.371M,35.076M,35.076M,35.076M,19.266M
CSPR-USD,Casper USD,0.051442,-0.006674,-11.48%,565.72M,13.586M,13.586M,13.586M,10.997B
BTT-USD,BitTorrent(New) USD,0.00000059,-0.00000001,-1.79%,564.219M,13.963M,13.963M,13.963M,951.422T
SNX-USD,Synthetix USD,2.1675,-0.2004,-8.46%,561.325M,34.352M,34.352M,34.352M,258.976M
